gene	mid	chrom	start	end
NID1	236183796	1	236139130	236228462
GPR137B	236345485	1	236305805	236385165
ERO1LB	236412070	1	236378853	236445287
ERO1B	236412070	1	236378855	236445285
EDARADD	236588886	1	236511557	236666215
LGALS8	236698790.5	1	236681300	236716281
HEATR1	236740054.5	1	236712305	236767804
ACTN2	236888842.5	1	236849754	236927931
MTR	237012931	1	236958581	237067281
MT1HL1	237167560.5	1	237167403	237167718
RYR2	237601396.5	1	237205505	237997288
RP11-193H5.1	238058548	1	238025473	238091623
ZP4	238047693	1	238041164	238054222
MTRNR2L11	238107799.5	1	238107024	238108575
RP11-177F15.1	238675175	1	238648743	238701607
CHRM3	239814308.5	1	239549865	240078752
FMN2	240408068.5	1	240177648	240638489
AL646016.1	240636343.5	1	240629183	240643504
GREM2	240714161	1	240652873	240775449
RGS7	241229672.5	1	240938815	241520530
FH	241671982	1	241660903	241683061
KMO	241727189	1	241695434	241758944
OPN3	241797041	1	241753404	241840678
CHML	241797855.5	1	241792155	241803556
WDR64	241890507.5	1	241815580	241965435
EXO1	242034859.5	1	242011269	242058450
BECN2	242121716.5	1	242121069	242122364
MAP1LC3C	242160583.5	1	242158792	242162375
PLD5	242467143	1	242246288	242687998
RP11-261C10.1	243169958.5	1	243169145	243170772
RP11-261C10.2	243207021	1	243202214	243211828
RP11-261C10.3	243258225	1	243251428	243265022
CEP170	243353190	1	243287730	243418650
AC092782.1	243391984.5	1	243388058	243395911
SDCCAG8	243541365	1	243419336	243663394
AKT3	243832958	1	243651535	244014381
RP11-278H7.1	244145661.5	1	244080702	244210621
ZBTB18	244216509.5	1	244212241	244220778
AL590483.1	244229421.5	1	244227632	244231211
RP11-278H7.4	244244225	1	244232120	244256330
C1orf100	244534451	1	244515937	244552965
ADSS	244593616	1	244571796	244615436
CATSPERE	244711079	1	244617679	244804479
C1orf101	244714242	1	244624676	244803808
DESI2	244844286	1	244816237	244872335
AL451007.3	244893732	1	244893200	244894264
COX20	245003491.5	1	244998624	245008359
HNRNPU	245015901	1	245003940	245027862
EFCAB2	245211736.5	1	245133007	245290466
KIF26B	245595510	1	245318287	245872733
SMYD3	246291629	1	245912644	246670614
TFB2M	246716744	1	246703862	246729626
CNST	246780816	1	246729746	246831886
SCCPDH	246909394	1	246887349	246931439
RP11-439E19.3	246947501	1	246939313	246955689
AHCTF1	247048834.5	1	247002400	247095269
ZNF670-ZNF695	247175481	1	247108849	247242113
ZNF695	247140122	1	247108849	247171395
ZNF670	247221071.5	1	247200086	247242057
ZNF669	247265469	1	247263264	247267674
ZNF124	247310297.5	1	247285277	247335318
ZNF496	247477931	1	247460714	247495148
NLRP3	247595934	1	247579458	247612410
OR2B11	247616913.5	1	247612420	247621407
GCSAML	247705676	1	247670360	247740992
OR2C3	247693860.5	1	247687979	247699742
GCSAML-AS1	247691948	1	247687981	247695915
OR2G2	247752138.5	1	247751662	247752615
OR2G3	247769352.5	1	247768888	247769817
OR13G1	247838577.5	1	247834114	247843041
OR6F1	247877343	1	247874738	247879948
AC118470.1	247881090.5	1	247875115	247887066
OR14A2	247886802	1	247886259	247887345
OR14K1	247902389	1	247901917	247902861
OR1C1	247921003	1	247918148	247923858
OR14A16	247982691.5	1	247977962	247987421
OR11L1	248004714	1	248004230	248005198
TRIM58	248031004	1	248020501	248041507
OR2W3	248059361	1	248058889	248059833
OR2T8	248084406	1	248083554	248085258
OR2AJ1	248093416	1	248088191	248098641
OR2L8	248112629	1	248112160	248113098
OR2AK2	248129111.5	1	248128535	248129688
OR2L5	248182270	1	248176962	248187578
OR2L2	248199489.5	1	248193372	248205607
OR2L3	248218423.5	1	248210138	248226709
OR2L13	248261445.5	1	248258486	248264405
OR2M5	248308919	1	248308450	248309388
OR2M2	248341246	1	248338123	248344369
OR2M3	248368397	1	248360567	248376227
OR2M4	248401350	1	248394719	248407981
OR2T33	248437248.5	1	248433219	248441278
OR2T12	248460083.5	1	248453441	248466726
OR2M7	248487401	1	248486932	248487870
OR14C36	248512546	1	248512077	248513015
OR2T4	248525406	1	248524883	248525929
OR2T6	248547079.5	1	248539047	248555112
OR2T1	248568835	1	248566349	248571321
OR2T2	248613919.5	1	248608813	248619026
OR2T3	248637130	1	248636652	248637608
OR2T5	248653152	1	248651890	248654414
OR2G6	248681006	1	248671374	248690638
OR2T29	248723143	1	248720213	248726073
OR2T34	248737580	1	248737102	248738058
OR2T10	248757394.5	1	248753788	248761001
OR2T11	248792625	1	248786858	248798392
OR2T35	248804118	1	248799657	248808579
OR2T27	248813708.5	1	248813232	248814185
OR14I1	248845137.5	1	248844670	248845605
XX-CR54.1	248858951.5	1	248855490	248862413
LYPD8	248892550	1	248881950	248903150
SH3BP5L	249112738.5	1	249104645	249120832
ZNF672	249138062.5	1	249132409	249143716
ZNF692	249148774	1	249144205	249153343
PGBD2	249207270	1	249200395	249214145
TUBB8	1680479610.5	10	92832	120103
ZMYND11	1680613634	10	180405	300577
DIP2C	1680901012	10	320130	735608
PRR26	1681078847.5	10	695888	715521
LARP4B	1681288392.5	10	852854	977645
AL359878.1	1681398832	10	1017095	1034283
GTPBP4	1681423060.5	10	1033959	1065876
IDI2	1681441466	10	1064847	1071799
IDI1	1681463244	10	1085092	1095110
WDR37	1681510044	10	1095478	1178324
LINC00200	1681581303	10	1205706	1210614
ADARB2	1681874607	10	1223258	1779670
LINC00700	1682425247.5	10	2047665	2056544
RP11-69C17.4	1682594644	10	2211332	2231670
LINC00701	1682725416	10	2347275	2357271
RP11-446F3.2	1682862139.5	10	2488445	2489548
PFKP	1683517357.5	10	3108525	3179904
PITRM1	1683570619.5	10	3179920	3215033
RP11-482E14.1	1683910201	10	3529084	3545032
RP11-184A2.3	1684172481.5	10	3793257	3805420
KLF6	1684195973.5	10	3818188	3827473
RP11-433J20.1	1684485704.5	10	4093916	4131207
AKR1E2	1685232680.5	10	4828821	4890254
AKR1C1	1685388603	10	5005445	5025475
AKR1C2	1685418050.5	10	5029592	5060223
AKR1C3	1685486855	10	5077546	5149878
AKR1C8P	1685584885.5	10	5196335	5227150
AKR1CL1	1685588562	10	5203692	5227146
AKR1C4	1685622311.5	10	5237425	5260912
RP11-445P17.8	1685683740.5	10	5307994	5313201
AKR1C7P	1685695671.5	10	5317167	5327890
UCN3	1685784956.5	10	5406972	5416655
TUBAL3	1685814070	10	5435061	5446793
NET1	1685850613	10	5454514	5500426
CALML5	1685914232	10	5540660	5541518
CALML3-AS1	1685933816.5	10	5556205	5565142
CALML3	1685940496	10	5565972	5568734
ASB13	1686067837	10	5680830	5708558
FAM208B	1686139395	10	5726801	5805703
GDI2	1686218783.5	10	5807186	5884095
ANKRD16	1686290867.5	10	5903580	5931869
FBH1	1686329004.5	10	5932166	5979557
FBXO18	1686331095.5	10	5936347	5979558
IL15RA	1686376019	10	5985602	6020150
IL2RA	1686451635.5	10	6052652	6104333
RBM17	1686518328	10	6130950	6159420
PFKFB3	1686614895	10	6186897	6296607
RP11-563J2.2	1686721940	10	6319648	6377946
PRKCQ	1686918827	10	6469105	6622263
RP11-799O21.2	1687321069.5	10	6933417	6962436
SFMBT2	1687700160	10	7200586	7453448
RP11-385N23.1	1687949991	10	7575167	7578529
ITIH5	1688028239.5	10	7601232	7708961
ITIH2	1688141500.5	10	7745232	7791483
KIN	1688184577.5	10	7792925	7829944
ATP5C1	1688213078	10	7830090	7849780
ATP5F1C	1688213078	10	7830092	7849778
TAF3	1688332671.5	10	7860467	8058590
GATA3	1688475396.5	10	8087341	8117166
LINC00708	1688678924	10	8301292	8310270
RP11-543F8.2	1688846467.5	10	8442821	8503828
LINC00709	1689696551	10	9317794	9329022
RP5-933E2.1	1690476218	10	10100683	10105467
RP11-271F18.1	1690780939.5	10	10407141	10408452
RP11-271F18.4	1690856049.5	10	10461499	10504314
CELF2	1691482660	10	10840360	11378674
LINC00710	1691358415.5	10	10976485	10994060
RP1-251M9.2	1691380589.5	10	11002112	11012781
RP1-251M9.3	1691425747.5	10	11052125	11053084
USP6NL	1691947992	10	11495945	11653753
ECHDC3	1692168360	10	11784365	11806069
PROSER2	1692262950	10	11865338	11914276
UPF2	1692396738	10	11962021	12085169
DHTKD1	1692511240.5	10	12110971	12165224
SEC61A2	1692564941	10	12171636	12211960
NUDT5	1692595876.5	10	12207324	12238143
CDC123	1692638419	10	12237964	12292588
CAMK1D	1693007656	10	12391481	12877545
CCDC3	1693413281.5	10	12938625	13141652
OPTN	1693534021.5	10	13141449	13180308
MCM10	1693601472	10	13203554	13253104
UCMA	1693643193.5	10	13263767	13276334
PHYH	1693705247	10	13319796	13344412
SEPHS1	1693748004	10	13359424	13390298
BEND7	1693898872	10	13480484	13570974
PRPF18	1694024040.5	10	13628927	13672868
AL157392.5	1694048131	10	13652047	13697929
FRMD4A	1694468066.5	10	13685706	14504141
FAM107B	1695061869	10	14560556	14816896
CDNF	1695244054.5	10	14861249	14880574
HSPA14	1695270092.5	10	14880159	14913740
SUV39H2	1695306709.5	10	14920819	14946314
DCLRE1C	1695341037.5	10	14939358	14996431
MEIG1	1695388886.5	10	15001438	15030049
OLAH	1695468181.5	10	15074226	15115851
ACBD7	1695498291.5	10	15119522	15130775
C10orf111	1695511494	10	15137382	15139320
RPP38	1695533641	10	15139179	15181817
NMT2	1695550780.5	10	15144583	15210692
FAM171A1	1695706494.5	10	15253642	15413061
ITGA8	1696032179	10	15555948	15762124
FAM188A	1696234487	10	15820167	15902521
MINDY3	1696234487	10	15820169	15902519
PTER	1696890486	10	16478942	16555744
C1QL3	1696933016	10	16555742	16564004
RSU1	1697119211.5	10	16632610	16859527
CUBN	1697392033.5	10	16865965	17171816
TRDMT1	1697587296	10	17184253	17244053
VIM	1697648068	10	17270258	17279592
ST8SIA6	1697801498.5	10	17360382	17496329
HACD1	1698018346.5	10	17631031	17659376
PTPLA	1698018810	10	17631956	17659378
STAM	1698095161.5	10	17686124	17757913
TMEM236	1698191702	10	17794251	17842867
MRC1L1	1698275413	10	17851362	17953178
MRC1	1698522364.5	10	18098352	18200091
SLC39A12	1698659637.5	10	18240768	18332221
CACNB2	1699004189	10	18429606	18832486
NSUN6	1699264495	10	18834490	18948214
ARL5B	1699332594	10	18948334	18970568
MALRD1	1700081658	10	19337700	20079330
RP11-354E11.2	1700381511	10	19999255	20017481
PLXDC2	1700715119.5	10	20105168	20578785
NEBL	1701639152	10	21068902	21463116
C10orf113	1701798233	10	21414692	21435488
NEBL-AS1	1701836603	10	21462941	21463979
CASC10	1702157032	10	21781587	21786191
SKIDA1	1702181995	10	21802407	21815297
MLLT10	1702296224.5	10	21813604	22032559
DNAJC1	1702542225	10	22045466	22292698
EBLN1	1702871489.5	10	22497743	22498950
COMMD3	1702980213	10	22604903	22609237
COMMD3-BMI1	1702985037	10	22605317	22618471
BMI1	1702988419.5	10	22610140	22620413
SPAG6	1703061906.5	10	22634374	22743153
PIP4K2A	1703286774	10	22823778	23003484
ARMC3	1703645345.5	10	23216953	23327452
MSRB2	1703770831.5	10	23384435	23410942
PTF1A	1703855361.5	10	23481256	23483181
C10orf67	1703935452.5	10	23490845	23633774
OTUD1	1704102996	10	23728387	23731319
KIAA1217	1704783369	10	23983675	24836777
AL353583.1	1705143595.5	10	24770273	24770632
ARHGAP21	1705315710.5	10	24872538	25012597
PRTFDC1	1705562677.5	10	25137536	25241533
ENKUR	1705684201	10	25270908	25351208
THNSL1	1705683733	10	25305587	25315593
GPR158	1706050586	10	25463731	25891155
MYO3A	1706735375.5	10	26223000	26501465
GAD2	1706922504.5	10	26505236	26593487
APBB1IP	1707165075	10	26727132	26856732
LINC00264	1707254166.5	10	26878792	26883255
LINC00202-2	1707310380.5	10	26932096	26942379
RP13-16H11.2	1707332254.5	10	26953133	26965090
PDSS1	1707384300.5	10	26986588	27035727
ABI1	1707465912	10	27035522	27150016
LINC00202-1	1707598675.5	10	27220133	27230932
ANKRD26	1707708278	10	27280843	27389427
YME1L1	1707794761	10	27399041	27444195
MASTL	1707832946	10	27443753	27475853
ACBD5	1707880744	10	27484143	27531059
ARMC4P1	1707935865	10	27547689	27577755
RP11-748L13.6	1708006248.5	10	27632363	27633848
PTCHD3	1708068349.5	10	27687114	27703299
RAB18	1708185277.5	10	27793103	27831166
MKX	1708371539.5	10	27961804	28034989
ARMC4	1708567678	10	28101093	28287977
MPP7	1708854811.5	10	28339922	28623415
RP11-351M16.3	1709126482.5	10	28721935	28784744
WAC	1709239874.5	10	28821422	28912041
BAMBI	1709342212.5	10	28966271	28971868
LINC00837	1709454669	10	29078115	29084937
C10orf126	1709526225	10	29135335	29170829
LYZL1	1709965766.5	10	29577990	29607257
PTCHD3P1	1710108810	10	29698485	29772849
SVIL	1710259131.5	10	29746267	30025710
KIAA1462	1710698234	10	30301727	30348455
JCAD	1710726219	10	30301729	30404423
MTPAP	1711004196.5	10	30598730	30663377
MAP3K8	1711109957	10	30722866	30750762
LYZL2	1711282842.5	10	30900708	30918691
SVILP1	1711358134.5	10	30982589	30987394
ZNF438	1711588144	10	31109136	31320866
RP11-192P3.4	1711886968.5	10	31476810	31550841
ZEB1	1712086226	10	31607424	31818742
ARHGAP12	1712529211	10	32094332	32217804
KIF5B	1712694791.5	10	32297938	32345359
RNU7-22P	1712835785	10	32462610	32462674
EPC1	1712985345.5	10	32556679	32667726
CCDC7	1713326578	10	32735068	33171802
C10ORF68	1713384265.5	10	32856762	33165483
ITGB1	1713615126.5	10	33189247	33294720
RP11-462L8.1	1713682544.5	10	33247771	33371032
RP11-342D11.3	1713768535.5	10	33385183	33405602
NRP1	1713918948	10	33466420	33625190
RP11-476F14.1	1714251556.5	10	33867857	33888970
PARD3	1715124513.5	10	34398488	35104253
CUL2	1715711667.5	10	35297479	35379570
MIR3611	1715741710	10	35368524	35368610
CREM	1715831945.5	10	35415719	35501886
CCNY	1716071918	10	35535953	35861597
GJD4	1716269243.5	10	35894338	35897863
FZD8	1716302334.5	10	35927177	35931206
NAMPTL	1717185126.5	10	36811642	36812325
ANKRD30A	1717917020.5	10	37414716	37673039
LINC00993	1717990176.5	10	37598111	37635956
MTRNR2L7	1718264278	10	37890368	37891902
ZNF248	1718479387	10	38065454	38147034
ZNF25	1718625173.5	10	38238500	38265561
ZNF33A	1718699940	10	38299578	38354016
ZNF37A	1718784384.5	10	38383262	38439221
AL117339.5	1718889304	10	38383296	38649026
RP11-508N22.8	1718856083.5	10	38464594	38501287
RP11-672F9.1	1718952609.5	10	38536848	38622085
HSD17B7P2	1719029513.5	10	38645306	38667435
SEPT7P9	1719056102	10	38674072	38691846
LINC00999	1719100090	10	38717074	38736820
RP11-313J2.1	1723218511	10	42827312	42863424
CCNYL2	1723308795	10	42903614	42967690
LINC00839	1723354030.5	10	42970989	42990786
ZNF37BP	1723401743	10	43008956	43048244
ZNF33B	1723474967.5	10	43069633	43134016
AL022344.4	1723551551	10	43169643	43187173
AL022344.5	1723569835	10	43191481	43201903
BMS1	1723677460	10	43278249	43330385
RET	1723972280	10	43572475	43625799
CSGALNACT2	1724030488	10	43633934	43680756
RASGEF1A	1724099318	10	43689983	43762367
FXYD4	1724242579.5	10	43867090	43871783
HNRNPF	1724265982.5	10	43881065	43904614
ZNF487	1724328601	10	43932289	43978627
ZNF239	1724434072	10	44051792	44070066
ZNF485	1724480746	10	44101855	44113351
ZNF32-AS3	1724520351	10	44124263	44170153
RP11-402L1.4	1724499814	10	44126328	44127014
ZNF32	1724514948.5	10	44139307	44144304
LINC00619	1724716555	10	44340752	44346072
LINC00840	1724746013	10	44354857	44390883
RP11-168P8.5	1724775436.5	10	44396811	44407776
C10orf142	1725162200	10	44788017	44790097
CXCL12	1725246920	10	44865613	44881941
AL137026.1	1725249356	10	44873687	44878739
TMEM72-AS1	1725753947.5	10	45306470	45455139
TMEM72	1725792692	10	45406648	45432450
RASSF4	1725846240	10	45454855	45491339
DEPP1	1725843486.5	10	45466429	45474258
ZNF22	1725871491.5	10	45495923	45500774
CEP164P1	1725905496	10	45497668	45567038
RP11-445N18.7	1726027982.5	10	45642840	45666839
RP11-445N18.5	1726041418.5	10	45659674	45676877
OR13A1	1726177544	10	45797746	45811056
ALOX5	1726278738.5	10	45869624	45941567
MARCH8	1726393336.5	10	45950033	46090354
ZFAND4	1726512731.5	10	46110949	46168228
WASHC2C	1726628671.5	10	46222648	46288409
FAM21C	1726628681	10	46222665	46288411
AGAP4	1726708325.5	10	46321042	46349323
PTPN20A	1726968643	10	46549955	46641045
BMS1P1	1727122551.5	10	46737610	46761207
RP11-38L15.8	1727288830.5	10	46914143	46917232
FAM35BP	1727292223	10	46914470	46923690
SYT15	1727336565	10	46955444	46971400
FO681492.1	1727338172.5	10	46958659	46971400
GPRIN2	1727370473	10	46994087	47000573
NPY4R	1727459070	10	47083534	47088320
NPY4R2	1727459070	10	47083534	47088320
LINC00842	1727497070	10	47096452	47151402
ANXA8L1	1727539181	10	47157983	47174093
FAM25B	1727552585.5	10	47177204	47181681
AGAP10	1727588934	10	47191844	47239738
ANTXRLP1	1728003620	10	47620143	47640811
ANTXRL	1728052655	10	47657581	47701443
ANXA8L2	1728128131.5	10	47746936	47763041
AL603965.1	1728132059.5	10	47746962	47770871
FAM21B	1728294860.5	10	47894023	47949412
ASAH2C	1728401453.5	10	48001603	48055018
AGAP9	1728586703	10	48189612	48237508
FAM25G	1728623049	10	48247669	48252143
ANXA8	1728640345	10	48255204	48279200
AL591684.1	1728640382	10	48255279	48279199
ZNF488	1728737620.5	10	48355089	48373866
RBP3	1728759382	10	48381487	48390991
GDF2	1728788125	10	48413092	48416872
GDF10	1728805538.5	10	48425815	48438976
PTPN20B	1729155563	10	48736874	48827966
BMS1P5	1729312315.5	10	48927371	48950974
GLUD1P2	1729340346.5	10	48954136	48980271
FAM25C	1729578749.5	10	49203388	49207825
FRMPD2	1729795165	10	49361131	49482913
MAPK8	1729954185.5	10	49514682	49647403
ARHGAP22	1730132336.5	10	49654077	49864310
WDFY4	1730415104	10	49892921	50191001
LRRC18	1730493045.5	10	50117528	50122277
VSTM4	1730646065	10	50222290	50323554
FAM170B-AS1	1730717881	10	50329882	50359594
FAM170B	1730713769	10	50339199	50342053
TMEM273	1730752843	10	50362770	50396630
C10orf128	1730753173.5	10	50363655	50396406
C10orf71	1730894528	10	50507238	50535532
DRGX	1730961287	10	50572226	50604062
RP11-123B3.2	1731027279	10	50627321	50680951
ERCC6	1731078642	10	50663414	50747584
ERCC6-PGBD3	1731108558.5	10	50723245	50747586
CHAT	1731218288.5	10	50817141	50873150
SLC18A3	1731192699.5	10	50818347	50820766
C10orf53	1731276145	10	50887697	50918307
OGDHL	1731329700	10	50942689	50970425
PARG	1731451663	10	51026325	51130715
FAM21D	1731563128	10	51187938	51192032
AGAP8	1731671144	10	51224681	51371321
RP11-592B15.3	1731702413	10	51287200	51371340
TIMM23B	1731752722	10	51371390	51387768
AGAP7	1731848387.5	10	51464160	51486329
MSMB	1731929177	10	51549553	51562515
NCOA4	1731951064	10	51565108	51590734
TIMM23	1731980882	10	51592088	51623390
AGAP6	1732129247.5	10	51741950	51770259
RP11-324H6.5	1732177395.5	10	51780940	51827565
WASHC2A	1732233600	10	51827648	51893266
FAM21A	1732233456.5	10	51827719	51892908
ASAH2	1732348597	10	51942538	52008370
SGMS1	1732598277.5	10	52065346	52384923
AC069547.1	1732468230	10	52094298	52095876
AC069547.2	1732526686.5	10	52152766	52154321
RP11-50E11.3	1732766104	10	52384709	52401213
ASAH2B	1732910809.5	10	52499078	52576255
A1CF	1732975445	10	52559169	52645435
PRKG1	1733777523.5	10	52750651	54058110
CSTF2T	1733830442	10	53455247	53459351
DKK1	1734449072	10	54074056	54077802
RP11-346D6.6	1734585976	10	54210632	54215034
RP11-556E13.1	1734789099	10	54316741	54515171
MBL2	1734901443	10	54525140	54531460
RP11-71J2.1	1735433971.5	10	55050830	55070827
PCDH15	1736848259.5	10	55562531	57387702
MTRNR2L5	1737732575	10	57359063	57359801
ZWINT	1738492155.5	10	58116989	58121036
IPMK	1740362629	10	59951278	60027694
CISD1	1740412225	10	60028818	60049346
UBE2D1	1740485767	10	60094735	60130513
TFAM	1740525024.5	10	60144782	60158981
BICC1	1740805191.5	10	60272900	60591197
PHYHIPL	1741345085	10	60936350	61007534
FAM13C	1741437557	10	61005889	61122939
RP11-135D11.2	1741733100	10	61348906	61371008
SLC16A9	1741826282.5	10	61410519	61495760
MRLN	1741879267.5	10	61496450	61515799
CCDC6	1741980610.5	10	61548521	61666414
C10orf40	1742091057	10	61715186	61720642
ANK3	1742512795	10	61786056	62493248
CDK1	1742919492.5	10	62538089	62554610
RHOBTB1	1743068340	10	62629196	62761198
TMEM26	1743562947.5	10	63166401	63213208
C10orf107	1743847764.5	10	63422717	63526526
CABCOCO1	1743847764.5	10	63422719	63526524
RP11-491H19.1	1743934396.5	10	63541501	63581006
ARID5B	1744132024	10	63661059	63856703
RTKN2	1744358773	10	63942794	64028466
ZNF365	1744655149	10	64133951	64430061
AC067752.1	1744729132	10	64280207	64431771
ADO	1744939573	10	64564617	64568243
EGR2	1744998851	10	64571756	64679660
NRBF2	1745277042	10	64893007	64914791
JMJD1C	1745477438.5	10	64926981	65281610
REEP3	1745706146	10	65281123	65384883
RP11-170M17.1	1745960519	10	65424422	65750330
RP11-222A11.1	1747758803	10	67330094	67441226
CTNNA3	1748937244.5	10	67672276	69455927
LRRTM3	1749145819	10	68685764	68859588
DNAJC12	1749950316.5	10	69556423	69597924
SIRT1	1750034430	10	69644427	69678147
HERC4	1750131523.5	10	69681656	69835105
MYPN	1750291967	10	69865874	69971774
ATOH7	1750364263.5	10	69990381	69991860
PBLD	1750440754.5	10	70042417	70092806
HNRNPH3	1750470082.5	10	70090931	70102948
RUFY2	1750507100.5	10	70100864	70167051
DNA2	1750575992.5	10	70173821	70231878
SLC25A16	1750635636.5	10	70237756	70287231
TET1	1750760469	10	70320413	70454239
CCAR1	1750889594.5	10	70480769	70552134
STOX1	1750994386	10	70587298	70655188
DDX50	1751056961.5	10	70661034	70706603
DDX21	1751103499.5	10	70715884	70744829
KIF1BP	1751149031.5	10	70748477	70803300
KIAA1279	1751135755.5	10	70748485	70776740
SRGN	1751229357.5	10	70847862	70864567
VPS26A	1751281085.5	10	70883268	70932617
SUPV3L1	1751327564.5	10	70939988	70968855
HKDC1	1751376830	10	70980059	71027315
HK1	1751468833	10	71029740	71161640
TACR2	1751543284	10	71163659	71176623
TSPAN15	1751612470	10	71211229	71267425
NEUROG3	1751705367	10	71331454	71332994
FAM241B	1751764824	10	71390007	71393355
C10orf35	1751764826	10	71390012	71393354
COL13A1	1752015970	10	71561623	71724031
H2AFY2	1752215437	10	71812552	71872036
AIFM2	1752248477.5	10	71857979	71892690
TYSND1	1752275227.5	10	71897737	71906432
SAR1A	1752291805	10	71907045	71930279
PPA1	1752351269.5	10	71962586	71993667
NPFFR1	1752398401.5	10	72007085	72043432
LRRC20	1752473709	10	72058726	72142406
EIF4EBP2	1752549397.5	10	72164135	72188374
NODAL	1752573032	10	72192071	72207707
AC022532.1	1752568592.5	10	72194585	72196314
PALD1	1752656534	10	72238577	72328205
PRF1	1752732960.5	10	72357104	72362531
ADAMTS14	1752850521	10	72432559	72522197
TBATA	1752911219	10	72530995	72545157
SGPL1	1752981466.5	10	72575717	72640930
PCBD1	1753018432	10	72642037	72648541
RP11-432J9.6	1753080247	10	72698808	72715400
UNC5B	1753390617	10	72972327	73062621
SLC29A3	1753483240.5	10	73079015	73141180
CDH23	1753739340.5	10	73156691	73575704
CDH23-AS1	1753642913	10	73267908	73271632
C10orf105	1753857663	10	73471459	73497581
C10orf54	1753893428.5	10	73507314	73533257
VSIR	1753893428.5	10	73507316	73533255
PSAP	1753966736.5	10	73576055	73611132
CHST3	1754121865.5	10	73724123	73773322
SPOCK2	1754206934.5	10	73818793	73848790
ASCC1	1754289484	10	73855790	73976892
ANAPC16	1754358831	10	73975758	73995618
DDIT4	1754407879	10	74033678	74035794
DNAJB12	1754476931	10	74092588	74114988
MICU1	1754629660	10	74127085	74385949
MCU	1754922813.5	10	74451889	74647452
OIT3	1755046208	10	74653339	74692791
PLA2G12B	1755077875	10	74694928	74714536
P4HA1	1755184996.5	10	74766975	74856732
NUDT13	1755254002.5	10	74870133	74891586
ECD	1755282506	10	74889913	74928813
FAM149B1	1755339236	10	74927924	75004262
DNAJC9	1755349013	10	74943120	75008620
MRPS16	1755383669	10	75008601	75012451
TTC18	1755439210	10	75013515	75118619
CFAP70	1755439210	10	75013517	75118617
ANXA7	1755527489.5	10	75134859	75173834
RP11-537A6.9	1755515365.5	10	75141189	75143256
MSS51	1755561471	10	75183337	75193319
PPP3CB	1755599127	10	75196186	75255782
USP54	1755694646.5	10	75257296	75385711
MYOZ1	1755769606.5	10	75391412	75401515
SYNPO2L	1755787243	10	75404639	75423561
AGAP5	1755819123	10	75434043	75457917
RP11-464F9.1	1755835281.5	10	75434051	75490226
RP11-574K11.28	1755847720	10	75458907	75490247
SEC24C	1755891173.5	10	75504142	75531919
AC022400.2	1755905299.5	10	75531935	75532378
FUT11	1755909172	10	75532049	75540009
CHCHD1	1755915750.5	10	75541805	75543410
ZSWIM8	1755926590.5	10	75545340	75561555
AC022400.6	1755936983.5	10	75556272	75571409
NDST2	1755939755.5	10	75561669	75571556
CAMK2G	1755976447	10	75572259	75634349
PLAU	1756046238	10	75668935	75677255
C10orf55	1756049274	10	75669727	75682535
VCL	1756191179	10	75754951	75881121
AP3M1	1756268560	10	75880013	75910821
ADK	1756563145	10	75910943	76469061
KAT6B	1757061676.5	10	76584685	76792382
DUPD1	1757181076	10	76797594	76818272
DUSP13	1757234727.5	10	76854190	76868979
SAMD8	1757273755.5	10	76859344	76941881
VDAC2	1757353702	10	76969912	76991206
COMTD1	1757367900.5	10	76993727	76995788
RP11-399K21.11	1757473387	10	77039482	77161006
ZNF503-AS1	1757461935	10	77056146	77121438
ZNF503	1757532769	10	77157588	77161664
LRMDA	1758128711	10	77191211	78319925
C10orf11	1758302969	10	77542517	78317135
KCNMA1	1759386886	10	78629359	79398127
DLG5	1759991559.5	10	79550549	79686284
AL391421.1	1760001143.5	10	79626631	79629370
POLR3A	1760132299	10	79729009	79789303
RPS24	1760178173.5	10	79793490	79816571
ZMIZ1-AS1	1761138511.5	10	80703083	80827654
RP11-481G8.2	1761135043.5	10	80760239	80763562
ZMIZ1	1761325681.5	10	80828792	81076285
PPIF	1761484302	10	81107225	81115093
ZCCHC24	1761546875	10	81142081	81205383
EIF5AL1	1761647419.5	10	81272357	81276196
SFTPA2	1761691026	10	81315608	81320158
SFTPA1	1761746096	10	81370695	81375211
RP11-119F19.2	1761861813.5	10	81451254	81526087
NUTM2B	1761841853	10	81462983	81474437
RP11-773D16.1	1761948438.5	10	81564239	81586352
NUTM2E	1761979017	10	81601114	81610634
MBL1P	1762054547.5	10	81679932	81682877
SFTPD	1762093076	10	81697496	81742370
TMEM254-AS1	1762195776.5	10	81806614	81838653
TMEM254	1762218500.5	10	81838402	81852313
PLAC9	1762271419.5	10	81891438	81905115
ANXA11	1762311129.5	10	81910645	81965328
LINC00857	1762346582.5	10	81967464	81979415
AL359195.1	1762384573.5	10	82009466	82013395
MAT1A	1762413651	10	82031576	82049440
DYDC1	1762479329	10	82095861	82116511
DYDC2	1762489308	10	82104501	82127829
PRXL2A	1762555371	10	82167585	82196871
FAM213A	1762559396.5	10	82179752	82192755
TSPAN14	1762626543.5	10	82213922	82292879
SH2D4B	1762725130	10	82297658	82406316
NRG3	1764564145.5	10	83635070	84746935
GHITM	1766279241.5	10	85899196	85913001
C10orf99	1766312415	10	85933494	85945050
CDHR1	1766340027	10	85954391	85979377
LRIT2	1766355941	10	85980251	85985345
LRIT1	1766369426	10	85991349	86001217
RGR	1766385405.5	10	86004809	86019716
